timestep,n_tumour,n_tumour_hypoxic,n_tumour_necrotic,mean_tumour_oxygen,median_tumour_oxygen,mean_tumour_radius,median_tumour_radius,n_tcells,n_tumour_damage_gt100,n_tumour_damage_gt80,n_tumour_damage_gt60,n_tumour_damage_gt40,n_tumour_damage_gt20,n_tumour_damage_gt10,n_tumour_damage_gt0,n_tcells_potency_le90,n_tcells_potency_le80,n_tcells_potency_le70,n_tcells_potency_le60,n_tcells_potency_le50,n_tcells_potency_le40,n_tcells_potency_le30,n_tcells_potency_le20,n_tcells_potency_le10
0,4.0,0.0,0.0,0.99973508781998,0.999728215427863,0.39225889843221234,0.39225889843221234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,5.0,0.0,0.0,0.9703223261707852,0.9699310307529074,0.4848811880447771,0.4871533254367277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,5.0,0.0,0.0,0.9553964873089346,0.9550283064681073,0.48488118984479717,0.4871533291171865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,6.0,0.0,0.0,0.9424557879367562,0.9425930725014955,0.47974444215443296,0.487206651946124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,7.0,0.0,0.0,0.9272528739057468,0.9281609257227003,0.4805570765834953,0.48719271425217786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,9.0,0.0,0.0,0.9120955668257883,0.9121621249234448,0.4749910573562031,0.48103654739141427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600,10.0,0.0,0.0,0.8973987837751374,0.8974075239048196,0.4724700012277962,0.47570567397806857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4200,10.0,0.0,0.0,0.8841084165205902,0.8839231007669303,0.472477653860949,0.47572409750266365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4800,12.0,0.0,0.0,0.8700206128354498,0.8704453010649753,0.4711725853824083,0.4785482873872431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400,16.0,0.0,0.0,0.8532607713694333,0.8519469366198418,0.46578046268290085,0.46915275996715483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,17.0,0.0,0.0,0.8373740346899474,0.8367883876219142,0.4648108787090335,0.46744153697390267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6600,18.0,0.0,0.0,0.8233310213324072,0.8228325100813334,0.4604180948286982,0.4688106119640998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7200,21.0,0.0,0.0,0.8076689266765372,0.806478852153169,0.4622866840332782,0.46515204654454506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7800,26.0,0.0,0.0,0.7893870475723405,0.7883705346553014,0.4456332532638307,0.4474805037473365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8400,32.0,0.0,0.0,0.7718657386722598,0.7720965836836826,0.4441651433815692,0.4465574294193312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000,34.0,0.0,0.0,0.7527732101404245,0.7503168362386989,0.4444979601134228,0.4437749025811706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
